Palabra Original,Traducción
,
fft,fft
historia de la geografía,history of geography
problemas no locales,non-local problems
privacidad,privacy
programa informático,computer program
human computer interaction and interface,human computer interaction and interface
conducción remota 5g,5g remote driving
radiofrequency thermal ablation (rfta),radiofrequency thermal ablation (rfta)
pueblos de europa,towns of europe
autovalores,eigenvalues
aviation climate impact,aviation climate impact
mecánica estadística,statistical mechanics
validación de modelos,model validation
cambio climático.,climate change.
cif / vat: -,cif / vat: -
estimación,estimate
medio ambiente,environment
information engineering,information engineering
drilling,drilling
sistemas de toma de decisión,decision making systems
estrategias,strategies
políticas y estrategias markovianas,Markovian policies and strategies
combustión,combustion
micro-econometrics,micro-econometrics
satellite,satellite
difusión de datos eficiente,efficient data dissemination
regionalización,regionalization
design and control of power factor correction (pfc) converters d1. state of the art of main topologies d2. design guidelines for 1-,design and control of power factor correction (pfc) converters d1. state of the art of main topologies d2. design guidelines for 1-
desarrollo por el usuario final,end user development
estimación y detección distribuidas,distributed estimation and detection
kinetic,kinetic
community-based participatory research,community-based participatory research
predicción económica,economic prediction
mecánica celular,cell mechanics
cálculo de variaciones,variation calculation
geografía política,political geography
trastornos neurológicos,Neurological disorders
teori de juegos evolutiva,evolutionary game theory
atención temprana,early attention
elusión,elusion
adaptatividad hp,adaptatividad hp
european audiovisual policy,european audiovisual policy
carga y descarga,loading and unloading
daño debido a mecanizado,damage due to machining
processing and joining and the mechanical characteristics of advanced materials,processing and joining and the mechanical characteristics of advanced materials
nanoparticles,nanoparticles
sistemas aerotransportados,airborne systems
trineo del viento,wind sleigh
contenido audiovisual,audiovisual content
salario,salary
criptografía post-cuántica,post-quantum cryptography
formadores de alúmina,alumina formers
diseño electrónico robusto,robust electronic design
mesenquimales,mesenchymal
communication technologies,communication technologies
estructuras aeronaúticas,aeronautical structures
micro-vehículos aereos,micro-aerial vehicles
legado clásico,classic legacy
blackboard collaborate,blackboard collaborate
caracterización de motores de plasma,characterization of plasma engines
electric space propulsion,electric space propulsion
military personnel,military personnel
offshore wind farms,offshore wind farms
explosion,explosion
relaciones colaborativas dentro de la cadena,collaborative relationships within the chain
análisis del mercado,market analysis
robots inteligentes,smart robots
ris,ris
thresholds,thresholds
optimización energética,energy optimization
métodos topológicos,topological methods
tegnologia,technology
representaciones sociales,social representations
sistemas centrados en el usuario,user-centered systems
industria 4.0,industry 4.0
energy positive,energy positive
rectificadores trifásicos pwm,three phase pwm rectifiers
dinámica de mecanismos,dynamics of mechanisms
angulo de contacto,contact angle
line-of-sight link blockage,line-of-sight link blockage
monitorización,monitoring
integridad superficial,surface integrity
vehículo eléctrico,electric vehicle
biodegradable oils,biodegradable oils
silano,silane
medicina personalizada,personalized medicine
series de fourier,fourier series
filología,philology
fusión,fusion
electrónicos,electronic
convertidores de,converters
community,community
ebg,ebg
converters system on chip on line labs,converters system on chip on line labs
actividad adminstrativa,administrative activity
dinámica,dynamic
conmutacion,commutation
ingeniería,engineering
bioingeniería,bioengineering
optimización de proceso.,process optimization.
ubiqui,everywhere
diversidad espacial,spatial diversity
ferritas,ferritus
arbitraje,arbitration
ciudades,cities
valor de marca,Brand value
estrés laboral,work stress
recepción del mensaje audiovisual,reception of the audiovisual message
civil servants,civil servants
materiales sostenible,sustainable materials
seguridad pasiva,Passive security
materiales compuestos de matriz polimeríca,polymer matrix composite materials
formación en ciberseguridad,cybersecurity training
usuarios vulnerables,vulnerable users
antenas,antennas
derecho comparado,comparative law
sistemas de detección de intrusiones,intrusion detection systems
media,media
digitalización de la,digitization of the
action,action
almacenamiento de energía,Energy storage
future wireless internet,future wireless internet
internet of things,internet of things
demonstration mission,demonstration mission
no-equilibrio,non-equilibrium
iso,iso
cuantización,quantization
digitalización de la prevención de riesgos laborales,digitization of occupational risk prevention
usabilidad,usability
personalization,personalization
amortiguadores,shock absorbers
mechanism design,mechanism design
unified growth models,unified growth models
uncertainty,uncertainty
misspecification,misspecification
kalman filter,kalman filter
principal components,principal components
anunciantes,advertisers
documentos negociables,negotiable documents
asistentes,assistants
cultura científica,scientific culture
aprendizaje máquina basado en teoría de la información,machine learning based on information theory
asignación de recursos,resource allocation
control digital,control digital
procesamiento avanzado de datos,advanced data processing
escaneo tridimensional (3d),three-dimensional (3d) scanning
preferencias políticas,political preferences
electricity markets,electricity markets
renewables,renewables
market power,market power
auctions,auctions
empirical industrial organization,empirical industrial organization
modelos gravitacionales,gravitational models
security,security
contaminación,pollution
metales líquidos,liquid metals
reconocimiento de señales,signal recognition
integración sistema,system integration
– economics of innovation,– economics of innovation
herculano,herculaneum
gusano de seda,silkworm
información narrativa,narrative information
convertidores de potencia,power converters
aplicaciones aeroespaciales,aerospace applications
trazabilidad,traceability
ductilidad,ductility
ciencia con la sociedad,science with society
future internet,future internet
browser automation,browser automation
neumáticos,tires
red de area metropolitana,metropolitan area network
territoriales,territorial
ddm,ddm
navegación quirúrgica,surgical navigation
sector público,public sector
publicidad online,online advertising
disrupción tecnológica,technological disruption
políticas inversión,investment policies
electrónica espacial,space electronics
léxico,lexicon
fusionadora,fusionist
radiometría,radiometry
biblioteca digital,digital library
experiencia,experience
internet,internet
catastro,catastro
demencia,dementia
electric,electric
iv&v plm,iv&v plm
trade unions,trade unions
personas,personas
smartcards,smartcards
bayesian nonparametrics,bayesian nonparametrics
evidence based security assurance,evidence based security assurance
communication engineering,communication engineering
data intensive,data intensive
consciousness,consciousness
edtech,edtech
accounting,accounting
teoría de frames,frame theory
slip casting,slip casting
acnur,UNHCR
teoría política contemporánea,contemporary political theory
legal anthropology,legal anthropology
experiencias,experiences
acuaporinas,aquaporins
seguimiento políticas,policy monitoring
eventos accesibles,accessible events
contrastes ct moleculares,molecular CT contrasts
contrastes ct nanoparticulados,nanoparticulate CT contrasts
imagen preclínica,preclinical image
inversores,investors
clasificación,classification
microemulsiones,microemulsiones
continuum mechanics,continuum mechanics
dynamic fragmentation,dynamic fragmentation
constitutive modelling,constitutive modelling
3d-printing,3d-printing
receptor solar,receptor solar
modelos: phase-field,modelos: phase-field
lidar,lidar
redes,networks
comunicaciones,communications
5g,5g
big data,big data
machine learning,machine learning
confinamiento magnético,magnetic confinement
cognitive radio,cognitive radio
high-throughput,high-throughput
firma manuscrita,handwritten signature
bandas milimétricas,millimeter bands
gereration & consumption,gereration & consumption
quantum technologies,quantum technologies
cine digital,cine digital
valorización material,material valorization
igualdad y no discriminación,equality and non-discrimination
trasformadores de potencia,power transformers
trabajo,job
eliminacion alquitranes,tar removal
flujos cardiovasculares,cardiovascular flows
terahertz instrumentation,terahertz instrumentation
vector network analysis,vector network analysis
photomixers,photomixers
dielectric,dielectric
función física no-clonable,non-clonable physical function
información asimétrica,asymmetric information
lodos,sludge
software analysis,software analysis
privacy,privacy
cfrp termoplásticos,thermoplastic cfrp
internet de las cosas,internet of things
monotonicidad estocasticas dominancia estocastica condiconal procesos empiricos efecto estigma movilidad solarial,stochastic monotonicity conditional stochastic dominance empirical processes stigma effect solar mobility
ods,ods
cadena de suministro,supply chain
proveedores nexo,nexus suppliers
inversores institucionales globales,global institutional investors
resultados,results
causal effects,causal effects
